,Tweets,Name,Length,Date,Source,location,Followers,Followings,Hashtags,Language,Likes,Retweets,Sentiment
51,"Govt to track mobile phones of people under quarantine to check their movement; we gave 14,345 phone numbers to Del… https://t.co/0WRmBnXefl",The Times of India,140,2020-04-01 12:01:28,TweetDeck,New Delhi,12530719,530,,en,41,11,Neutral
52,"#JustIn 

5 villages Sarola, Dehridhara, Mangal Nar, Gambir Muglan &amp; Kotli of Manjakote tehsil in Rajouri district… https://t.co/HNzsRfDnZd",The Times of India,143,2020-04-01 12:00:48,TweetDeck,New Delhi,12530719,530,JustIn,en,51,7,Neutral
53,"Covid-19 beds almost full, Noida waits for new unit https://t.co/KANdV4XwEK via @TOINoida https://t.co/Nyu7wQCJNF",The Times of India,113,2020-04-01 12:00:01,TweetDeck,New Delhi,12530719,530,,en,48,7,Positive
54,Cancer patient walking from AIIMS Delhi to Ajmer rescued https://t.co/E5Y79NTDAD via @TOICitiesNews,The Times of India,99,2020-04-01 11:50:00,TweetDeck,New Delhi,12530719,530,,en,47,6,Neutral
55,Watch: #SonakshiSinha has the PERFECT reply for trolls who questioned her contribution in #COVID-19 relief funds! (… https://t.co/uj9ZyhztFz,The Times of India,140,2020-04-01 11:46:30,Twitter Web App,New Delhi,12530719,530,SonakshiSinha,en,17,2,Positive
56,#Coronavirus: Locals pelt stones on health department team in Indore https://t.co/F5J8jVuHXO via @TOICitiesNews,The Times of India,111,2020-04-01 11:44:29,TweetDeck,New Delhi,12530719,530,Coronavirus,en,64,14,Neutral
57,"RT @toisports: #COVID19: #SouravGanguly visits Belur Math after 25 years, helps needy 

Read: https://t.co/xQYqdMIeWc

#CoronavirusPandemic…",The Times of India,140,2020-04-01 11:42:26,TweetDeck,New Delhi,12530719,530,COVID19,en,0,11,Neutral
58,"My dad is away from me to help you, pls stay at home: Little Arunachal girl's message wins hearts… https://t.co/lMWXXYzbPm",The Times of India,122,2020-04-01 11:41:12,TweetDeck,New Delhi,12530719,530,,en,126,25,Positive
59,"Gujarat: On seats of gossip, thorns prick more than conscience https://t.co/OAyqepFUwO via @TOICitiesNews https://t.co/smyy5xPYsM",The Times of India,129,2020-04-01 11:40:00,TweetDeck,New Delhi,12530719,530,,en,26,3,Positive
60,"Till now, there are 23 #Coronavirus cases in Bihar and 1 death: Bihar CM @NitishKumar 

#CautionYesPanicNo… https://t.co/OPmvVtyf8f",The Times of India,131,2020-04-01 11:37:38,TweetDeck,New Delhi,12530719,530,Coronavirus,en,27,3,Neutral
61,"RT @toisports: #CautionYesPanicNo #CoronaLockdownIndia #ManuBhaker

Shoot &amp; Sketch: @realmanubhaker shares her secrets, including her 'lock…",The Times of India,144,2020-04-01 11:33:52,TweetDeck,New Delhi,12530719,530,CautionYesPanicNo,en,0,4,Neutral
62,Director General of Civil Aviation grants special permission to conduct cargo operations using passenger category a… https://t.co/JMgVN6iPWy,The Times of India,140,2020-04-01 11:33:38,TweetDeck,New Delhi,12530719,530,,en,49,11,Positive
63,"Four water bottles, five mobiles and a migrant family on the move

TOI features the lives of migrants from all acro… https://t.co/0rIqEJeS1P",The Times of India,140,2020-04-01 11:30:00,TweetDeck,New Delhi,12530719,530,,en,45,7,Neutral
64,"7 new COVID-19 patients found in Gautam Buddh Nagar in 24 hours, total cases 45: Officials (PTI)… https://t.co/SwxqE41o3D",The Times of India,121,2020-04-01 11:25:15,Twitter Web App,New Delhi,12530719,530,,en,25,4,Positive
65,"Nagpur civic body to test 54 who had close contact with Tablighi Jamaat for Covid-19 

https://t.co/gYu6Y6gQl5 via… https://t.co/VUarwzwC9G",The Times of India,139,2020-04-01 11:24:46,TweetDeck,New Delhi,12530719,530,,en,44,6,Neutral
66,"In Bihar, youth sounds ‘Covid alert’, lynched https://t.co/4fIDmjPdqQ via @TOICitiesNews",The Times of India,88,2020-04-01 11:20:00,TweetDeck,New Delhi,12530719,530,,en,27,7,Neutral
67,"Salman Khan lost his nephew Abdullah on Monday

via @etimes

https://t.co/gCo0JAJmoh",The Times of India,84,2020-04-01 11:18:54,Twitter Web App,New Delhi,12530719,530,,en,66,3,Neutral
68,"RT @toisports: #CautionYesPanicNo #CoronavirusOutbreak 

World champion Kapas among nine Hungarian swimmers infected with coronavirus 

Rea…",The Times of India,140,2020-04-01 11:18:37,TweetDeck,New Delhi,12530719,530,CautionYesPanicNo,en,0,5,Neutral
69,"All 33 Supreme Court Judges, including CJI, have donated Rs 50,000 each to #PMCaresFund to aid the national fight a… https://t.co/Sa3m7h0yTp",The Times of India,140,2020-04-01 11:17:19,TweetDeck,New Delhi,12530719,530,PMCaresFund,en,174,20,Neutral
70,"RT @toisports: #COVID19Pandemic will leave more people bankrupt than dead: @shoaib100mph 

Read: https://t.co/0fuHxXmkh7

#CoronavirusPande…",The Times of India,140,2020-04-01 11:15:03,TweetDeck,New Delhi,12530719,530,COVID19Pandemic,en,0,6,Positive
71,"RT @toisports: #CoronavirusPandemic #Tennis #CautionYesPanicNo #Wimbledon

@Wimbledon set to be cancelled for first time since World War II…",The Times of India,140,2020-04-01 11:13:01,TweetDeck,New Delhi,12530719,530,CoronavirusPandemic,en,0,3,Positive
72,"Ragi for rice, greens for milk: Old Mysuru returns to barter https://t.co/L6BKy1lUOx via @TOICitiesNews https://t.co/J7AbTmC7KH",The Times of India,127,2020-04-01 11:10:00,TweetDeck,New Delhi,12530719,530,,en,113,16,Positive
73,"We urge people to follow guidelines during #lockdown period, avoid congregations and religious gatherings: Health M… https://t.co/TcHJTR0BLv",The Times of India,140,2020-04-01 11:08:46,Twitter Web App,New Delhi,12530719,530,lockdown,en,23,10,Neutral
74,"Lockdown: Use this website to let others know which stores are open near your house 

https://t.co/jEFU26bgt4 via @gadgetsnow",The Times of India,125,2020-04-01 11:04:51,TweetDeck,New Delhi,12530719,530,,en,26,6,Positive
75,"13 more test positive for #coronavirus in Jaipur; total 106 cases in Rajasthan 

https://t.co/O84Rdi1QTK via… https://t.co/NgrDm89TgE",The Times of India,133,2020-04-01 11:03:39,TweetDeck,New Delhi,12530719,530,coronavirus,en,46,8,Positive
76,"Spain death toll tops 9,000 as infections pass 100,000: Govt https://t.co/xOGiUMgLys via @TOIWorld https://t.co/3vglcC9lZk",The Times of India,122,2020-04-01 11:00:00,TweetDeck,New Delhi,12530719,530,,en,45,8,Neutral
77,"386 new cases of COVID-19 reported in the last 24 hours, taking total number of cases to 1,637 in the country.… https://t.co/SZEjTFLiYi",The Times of India,135,2020-04-01 10:56:00,Twitter Web App,New Delhi,12530719,530,,en,49,6,Positive
78,"Now, Meghalaya allows home delivery of liquor on health grounds https://t.co/asFqzgdCgY via @TOICitiesNews",The Times of India,106,2020-04-01 10:50:00,TweetDeck,New Delhi,12530719,530,,en,32,9,Neutral
79,SC defers hearing on a petition seeking direction to Centre to declare financial emergency in the country to have a… https://t.co/uIEDs9mDPI,The Times of India,140,2020-04-01 10:47:11,TweetDeck,New Delhi,12530719,530,,en,24,3,Neutral
80,"Star Talk: @imbhandarkar opens up about the effect of #coronavirus pandemic on his life and Bollywood, urges fans t… https://t.co/PoDw2XJ2eh",The Times of India,140,2020-04-01 10:44:31,Twitter for Android,New Delhi,12530719,530,coronavirus,en,23,6,Neutral
81,Elderly man cycles 110km to bail out nephew in Vadodara https://t.co/lM2KTR7JBV via @TOICitiesNews https://t.co/fg0V9tfn1W,The Times of India,122,2020-04-01 10:40:00,TweetDeck,New Delhi,12530719,530,,en,72,7,Neutral
82,"Meet India’s lockdown heros

Here are some heroes who are taking risks in these trying times and doing their bit to… https://t.co/TTf5lUg1xi",The Times of India,140,2020-04-01 10:30:00,TweetDeck,New Delhi,12530719,530,,en,30,5,Neutral
83,J&amp;K new domicile rule: Person who lives in UT for 15 years is eligible https://t.co/xogJx08wCI,The Times of India,98,2020-04-01 10:20:44,Twitter Web App,New Delhi,12530719,530,,en,88,8,Positive
84,Looks like @karanjohar's lil munchkins have a critical opinion on daddy's fashion sense! Check out the video for mo… https://t.co/O1IgWt7F2n,The Times of India,140,2020-04-01 10:20:15,Twitter Web App,New Delhi,12530719,530,,en,11,1,Neutral
85,Coronavirus: News Broadcasters Association hails SC directive for fake news crackdown https://t.co/cAwC5VMTAl,The Times of India,109,2020-04-01 10:20:00,TweetDeck,New Delhi,12530719,530,,en,24,6,Controversial
86,"Covid-19: PM @narendramodi to hold video conference with CMs on Thursday 

READ: https://t.co/y08rwJtJnL… https://t.co/5ltYN1Pnh2",The Times of India,129,2020-04-01 10:18:00,TweetDeck,New Delhi,12530719,530,,en,36,4,Neutral
87,"Discrimination amid pandemic, Pakistan refuses to give food to Hindus as #coronavirus rages… https://t.co/p56ahedA4P",The Times of India,116,2020-04-01 10:17:59,TweetDeck,New Delhi,12530719,530,coronavirus,en,75,24,Neutral
88,"From @iamsrk to @TheAaryanKartik , #KatrinaKaif and many other Bollywood stars who gave us a peek into their homes… https://t.co/W02TA87RKi",The Times of India,139,2020-04-01 10:14:49,Twitter Web App,New Delhi,12530719,530,KatrinaKaif,en,42,4,Positive
89,"RT @TOI_Books: #IRecommend | Episode 5
Author @claremackint0sh recommends books you can read during the #lockdown 
Watch the complete video…",The Times of India,140,2020-04-01 10:12:52,Twitter Web App,New Delhi,12530719,530,IRecommend,en,0,7,Positive
90,"Sensex plunges 1,203 points to close at 28,265; Nifty ends below 8,300 https://t.co/BwNfYqnf8r via @TOIBusiness",The Times of India,111,2020-04-01 10:12:29,TweetDeck,New Delhi,12530719,530,,en,26,3,Neutral
91,"250 Indians stranded in Iran tested positive for Covid-19, Centre tells SC

The top court observed that it is think… https://t.co/S0mn1iisoe",The Times of India,140,2020-04-01 10:10:00,TweetDeck,New Delhi,12530719,530,,en,62,9,Positive
92,"Markets back in red, sensex plunges 1,203 points to close at 28,265 as coronavirus continues to spread; Nifty ends… https://t.co/DQ85xdmEhO",The Times of India,139,2020-04-01 10:03:07,TweetDeck,New Delhi,12530719,530,,en,31,4,Neutral
93,Two resident doctors of Safdarjung Hospital in Delhi test positive for COVID-19: Official sources (PTI)… https://t.co/ybE6VAkWT7,The Times of India,128,2020-04-01 10:01:23,Twitter Web App,New Delhi,12530719,530,,en,75,14,Positive
94,"Europe coronavirus death toll tops 30,000: AFP tally 

The most deaths were recorded in Italy, with 12,428 fataliti… https://t.co/yNw9FfWQXr",The Times of India,140,2020-04-01 10:00:00,TweetDeck,New Delhi,12530719,530,,en,41,9,Positive
95,"RT @toi_data: Lockdown, social distancing or testing—what is a better way of flattening the coronavirus curve?

Read more: https://t.co/elf…",The Times of India,140,2020-04-01 09:57:35,Twitter Web App,New Delhi,12530719,530,,en,0,14,Positive
96,"RT @toisports: Indian sports stars join the war against Coronavirus

READ: https://t.co/58FkwcgQat 

#CoronavirusPandemic #COVID19 #Caution…",The Times of India,140,2020-04-01 09:54:27,Twitter Web App,New Delhi,12530719,530,CoronavirusPandemic,en,0,6,Neutral
97,#KareenaKapoorKhan and #SaifAliKhan's donation for #COVIDー19 relief work has irked social media trolls; here's why!… https://t.co/jF2JZozoXF,The Times of India,140,2020-04-01 09:52:59,Twitter Web App,New Delhi,12530719,530,KareenaKapoorKhan,en,29,3,Positive
98,"200 from Karnataka who attended Tabligh meet at Delhi's Nizamuddin quarantined

#CautionYesPanicNo… https://t.co/j8RG2Hbea6",The Times of India,123,2020-04-01 09:51:35,TweetDeck,New Delhi,12530719,530,CautionYesPanicNo,en,45,5,Neutral
99,Saudi official urges Muslims to delay hajj plans over coronavirus https://t.co/Jz0rSaLSfo via @TOIWorld https://t.co/LvNChFIVci,The Times of India,127,2020-04-01 09:50:00,TweetDeck,New Delhi,12530719,530,,da,117,14,Neutral
100,"Reduction in interest rates on small savings heartless, must be rolled back: Congress https://t.co/ZumUlc5xoN via @TOIBusiness",The Times of India,126,2020-04-01 09:45:00,TweetDeck,New Delhi,12530719,530,,en,43,8,Controversial
101,Chinese scientists seeking potential Covid-19 treatment find 'effective' antibodies https://t.co/3FvEHYavDo via… https://t.co/Nha63npb6J,The Times of India,136,2020-04-01 09:40:00,TweetDeck,New Delhi,12530719,530,,en,55,15,Positive
102,"Around 1,200 people from Telangana had attended Markaz gathering in Delhi, some of them were found #COVID19 positiv… https://t.co/HXBStQEvqb",The Times of India,140,2020-04-01 09:37:34,Twitter Web App,New Delhi,12530719,530,COVID19,en,62,23,Neutral
103,"Delhi: Markaz building in Nizamuddin being sanitized. 

(Pics: ANI) https://t.co/vLNy8VKQ57",The Times of India,91,2020-04-01 09:37:08,Twitter Web App,New Delhi,12530719,530,,en,77,11,Neutral
104,Total 5 #COVID19 positive cases have been reported in Assam - 1 shifted to Silchar Medical College and Hospital and… https://t.co/2aeL4Wieg1,The Times of India,140,2020-04-01 09:35:47,Twitter Web App,New Delhi,12530719,530,COVID19,en,56,14,Positive
105,"How Covid-19 lockdown is hurting fishermen

Fishermen as well as the traders say the losses could go up to a few cr… https://t.co/abHl50Fixw",The Times of India,140,2020-04-01 09:35:00,TweetDeck,New Delhi,12530719,530,,en,29,5,Controversial
106,"Wipro, Azim Premji Foundation commit Rs 1,125 crore to tackle #Covid19 
 
Of the Rs 1,125 crore, Wipro Ltd's commit… https://t.co/Wka8xTyruw",The Times of India,140,2020-04-01 09:33:34,TweetDeck,New Delhi,12530719,530,Covid19,en,1449,360,Neutral
107,"Day 8 of lockdown: Ground report from various Indian cities 

Amid prevalent chaos and uncertainty over access to t… https://t.co/UtWKG20ju6",The Times of India,140,2020-04-01 09:32:39,Twitter Web App,New Delhi,12530719,530,,en,31,6,Neutral
108,"#Covid19 death toll crosses 1,000 in #NewYorkCity 

At least 8,400 people are hospitalized and of those, at least 1… https://t.co/yULmZa1nXZ",The Times of India,140,2020-04-01 09:30:00,TweetDeck,New Delhi,12530719,530,Covid19,en,29,8,Controversial
109,"RT @toisports: #COVID19: Twitter divided after @YUVSTRONG12 and  @harbhajan_singh support @SAfridiOfficial

READ: https://t.co/wThxE7n6eb…",The Times of India,138,2020-04-01 09:26:44,Twitter Web App,New Delhi,12530719,530,COVID19,en,0,3,Neutral
110,"Watch: @IamKirtiKulhari opens up on her marriage with #SaahilSehgal in this EXCLUSIVE chat! (via @etimes)

https://t.co/nMyh7KNL98",The Times of India,130,2020-04-01 09:20:48,Twitter Web App,New Delhi,12530719,530,SaahilSehgal,en,18,3,Neutral
111,"Pakistan's coronavirus tally reaches 2039, Command Centre in place for coordinated response https://t.co/BAnRaj0iCz via @TOIWorld",The Times of India,129,2020-04-01 09:20:00,TweetDeck,New Delhi,12530719,530,,en,34,6,Neutral
112,Uber launches 24/7 transportation service for frontline healthcare workers https://t.co/7ZiJU5uLpg via @gadgetsnow https://t.co/jMzSxAeXOF,The Times of India,138,2020-04-01 09:10:00,TweetDeck,New Delhi,12530719,530,,en,35,8,Neutral
113,"If anyone loses their life while serving #COVID19 patients, whether sanitation workers, doctors or nurses, their fa… https://t.co/C4VqsQl1dX",The Times of India,140,2020-04-01 09:09:56,Twitter Web App,New Delhi,12530719,530,COVID19,en,188,28,Controversial
114,'Insult is heaped on injury': Omar Abdullah slams government over new J&amp;K domicile rule https://t.co/2024ECmfo2,The Times of India,115,2020-04-01 09:09:49,TweetDeck,New Delhi,12530719,530,,en,140,12,Positive
115,"#CoronavirusOutbreak

#Covid19: An overview of India's 10 hotspots

Govt is focusing its attention on 10 'hotspots'… https://t.co/AjOx4r9RWK",The Times of India,140,2020-04-01 09:00:35,TweetDeck,New Delhi,12530719,530,CoronavirusOutbreak,en,30,8,Neutral
